id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,AnnualCrop,0.11,0.0,304,0,2396,0.11259259259259259,1.0,0.20239680426098536
0,AnnualCrop,0.11,0.009999999776482582,302,2,194,0.6088709677419355,0.993421052631579,0.755
0,AnnualCrop,0.11,0.019999999552965164,301,3,125,0.7065727699530516,0.9901315789473685,0.8246575342465754
0,AnnualCrop,0.11,0.029999999329447746,301,3,98,0.7543859649122807,0.9901315789473685,0.8563300142247511
0,AnnualCrop,0.11,0.03999999910593033,301,3,81,0.7879581151832461,0.9901315789473685,0.8775510204081632
0,AnnualCrop,0.11,0.05000000074505806,300,4,73,0.8042895442359249,0.9868421052631579,0.8862629246676514
0,AnnualCrop,0.11,0.05999999865889549,300,4,70,0.8108108108108109,0.9868421052631579,0.8902077151335311
0,AnnualCrop,0.11,0.07000000029802322,299,5,68,0.8147138964577657,0.9835526315789473,0.8912071535022354
0,AnnualCrop,0.11,0.07999999821186066,299,5,63,0.8259668508287292,0.9835526315789473,0.8978978978978979
0,AnnualCrop,0.11,0.09000000357627869,297,7,57,0.8389830508474576,0.9769736842105263,0.9027355623100304
0,AnnualCrop,0.11,0.10000000149011612,297,7,54,0.8461538461538461,0.9769736842105263,0.9068702290076336
0,AnnualCrop,0.11,0.10999999940395355,297,7,50,0.8559077809798271,0.9769736842105263,0.9124423963133641
0,AnnualCrop,0.11,0.11999999731779099,296,8,43,0.8731563421828908,0.9736842105263158,0.9206842923794712
0,AnnualCrop,0.11,0.12999999523162842,296,8,42,0.8757396449704142,0.9736842105263158,0.9221183800623053
0,AnnualCrop,0.11,0.14000000059604645,296,8,41,0.8783382789317508,0.9736842105263158,0.9235569422776911
0,AnnualCrop,0.11,0.15000000596046448,296,8,41,0.8783382789317508,0.9736842105263158,0.9235569422776911
0,AnnualCrop,0.11,0.1599999964237213,296,8,41,0.8783382789317508,0.9736842105263158,0.9235569422776911
0,AnnualCrop,0.11,0.17000000178813934,296,8,39,0.8835820895522388,0.9736842105263158,0.9264475743348983
0,AnnualCrop,0.11,0.18000000715255737,295,9,38,0.8858858858858859,0.9703947368421053,0.9262166405023547
0,AnnualCrop,0.11,0.1899999976158142,295,9,36,0.8912386706948641,0.9703947368421053,0.9291338582677166
0,AnnualCrop,0.11,0.20000000298023224,295,9,35,0.8939393939393939,0.9703947368421053,0.9305993690851735
0,AnnualCrop,0.11,0.20999999344348907,295,9,35,0.8939393939393939,0.9703947368421053,0.9305993690851735
0,AnnualCrop,0.11,0.2199999988079071,295,9,33,0.899390243902439,0.9703947368421053,0.9335443037974683
0,AnnualCrop,0.11,0.23000000417232513,295,9,32,0.9021406727828746,0.9703947368421053,0.9350237717908082
0,AnnualCrop,0.11,0.23999999463558197,295,9,31,0.9049079754601227,0.9703947368421053,0.9365079365079365
0,AnnualCrop,0.11,0.25,295,9,30,0.9076923076923077,0.9703947368421053,0.9379968203497615
0,AnnualCrop,0.11,0.25999999046325684,295,9,30,0.9076923076923077,0.9703947368421053,0.9379968203497615
0,AnnualCrop,0.11,0.27000001072883606,295,9,30,0.9076923076923077,0.9703947368421053,0.9379968203497615
0,AnnualCrop,0.11,0.2800000011920929,295,9,28,0.913312693498452,0.9703947368421053,0.9409888357256778
0,AnnualCrop,0.11,0.28999999165534973,295,9,28,0.913312693498452,0.9703947368421053,0.9409888357256778
0,AnnualCrop,0.11,0.30000001192092896,295,9,28,0.913312693498452,0.9703947368421053,0.9409888357256778
0,AnnualCrop,0.11,0.3100000023841858,295,9,27,0.9161490683229814,0.9703947368421053,0.9424920127795527
0,AnnualCrop,0.11,0.3199999928474426,294,10,27,0.9158878504672897,0.9671052631578947,0.9408
0,AnnualCrop,0.11,0.33000001311302185,294,10,26,0.91875,0.9671052631578947,0.9423076923076923
0,AnnualCrop,0.11,0.3400000035762787,294,10,25,0.9216300940438872,0.9671052631578947,0.9438202247191011
0,AnnualCrop,0.11,0.3499999940395355,293,11,24,0.9242902208201893,0.9638157894736842,0.9436392914653784
0,AnnualCrop,0.11,0.36000001430511475,293,11,22,0.9301587301587302,0.9638157894736842,0.9466882067851373
0,AnnualCrop,0.11,0.3700000047683716,293,11,22,0.9301587301587302,0.9638157894736842,0.9466882067851373
0,AnnualCrop,0.11,0.3799999952316284,293,11,21,0.9331210191082803,0.9638157894736842,0.948220064724919
0,AnnualCrop,0.11,0.38999998569488525,293,11,21,0.9331210191082803,0.9638157894736842,0.948220064724919
0,AnnualCrop,0.11,0.4000000059604645,292,12,20,0.9358974358974359,0.9605263157894737,0.948051948051948
0,AnnualCrop,0.11,0.4099999964237213,292,12,20,0.9358974358974359,0.9605263157894737,0.948051948051948
0,AnnualCrop,0.11,0.41999998688697815,292,12,19,0.9389067524115756,0.9605263157894737,0.9495934959349593
0,AnnualCrop,0.11,0.4300000071525574,292,12,18,0.9419354838709677,0.9605263157894737,0.9511400651465798
0,AnnualCrop,0.11,0.4399999976158142,291,13,17,0.9448051948051948,0.9572368421052632,0.9509803921568627
0,AnnualCrop,0.11,0.44999998807907104,291,13,17,0.9448051948051948,0.9572368421052632,0.9509803921568627
0,AnnualCrop,0.11,0.46000000834465027,291,13,17,0.9448051948051948,0.9572368421052632,0.9509803921568627
0,AnnualCrop,0.11,0.4699999988079071,290,14,17,0.9446254071661238,0.9539473684210527,0.9492635024549918
0,AnnualCrop,0.11,0.47999998927116394,290,14,16,0.9477124183006536,0.9539473684210527,0.9508196721311475
0,AnnualCrop,0.11,0.49000000953674316,289,15,16,0.9475409836065574,0.9506578947368421,0.9490968801313628
